N_cajeros,N_clientes,% Utilizacion, N_clientes_perdidos,N_clientes_tarjeta, T_total
1,20,96.5484757022593,35,7,57.92908542135558
1,27,93.50876547676293,29,7,56.10525928605776
1,12,97.26277701192885,43,1,58.35766620715731
1,17,83.29215838209004,19,2,49.97529502925403
4,57,42.381595447774636,0,12,101.71582907465914
1,57,82.5743572628575,7,20,49.5446143577145
1,56,93.49748493990954,11,14,56.09849096394572
1,50,84.79989542386404,4,11,50.87993725431843
1,48,82.77755877797118,11,17,49.66653526678271
1,46,91.08471388851093,26,13,54.65082833310656
1,13,78.53238896260011,41,3,47.119433377560064
1,33,99.20169587118262,27,10,59.52101752270958
1,32,96.01714033300202,40,7,57.61028419980121
1,21,92.89328280169367,33,3,55.7359696810162
1,20,85.74438240129615,28,6,51.44662944077769
1,19,95.42736781449929,42,7,57.25642068869957
1,26,95.54211922589786,22,5,57.32527153553872
1,21,88.06909666047896,34,7,52.841457996287374
1,30,95.96016605086012,30,8,57.57609963051607
1,20,95.98872274683823,32,4,57.593233648102945
1,21,94.62774163022634,41,6,56.7766449781358
1,15,91.87561494685526,37,4,55.12536896811316
1,15,90.0022925360021,28,2,54.00137552160126
1,8,94.25163531880216,47,2,56.55098119128129
1,9,86.03101177119045,32,2,51.61860706271427
1,12,94.66937585666942,26,1,56.80162551400166
1,9,91.48232167533145,46,3,54.88939300519887
1,11,91.44809224975849,40,4,54.86885534985509
1,25,91.99060038288856,32,8,55.19436022973314
1,21,90.63147961494403,30,3,54.37888776896642
1,17,97.7341293083603,32,6,58.64047758501618
1,16,94.00343270971263,36,4,56.40205962582757
1,26,96.69989622175973,23,6,58.01993773305584
1,18,91.55851174947964,42,2,54.93510704968778
1,23,93.23758303313325,32,8,55.94254981987994
1,23,89.04614790785497,42,5,53.42768874471298
1,25,82.74099700274485,28,4,49.644598201646915
1,18,92.29843203626244,27,5,55.37905922175746
1,23,94.13811967729838,32,7,56.48287180637902
1,17,91.04493350706899,33,7,54.6269601042414
1,20,99.76654628808909,25,7,59.85992777285345
1,16,85.8393809147486,26,4,51.50362854884916
1,23,96.50768206363989,44,9,57.90460923818393
1,30,97.44628371625403,25,9,58.46777022975241
1,7,84.30839953042909,45,2,50.585039718257455
1,3,41.83941355569585,23,0,25.103648133417508
1,13,89.8083623901902,27,1,53.88501743411412
1,6,94.54364134079819,52,1,56.72618480447891
1,13,77.57969476474152,31,2,46.54781685884492
1,8,91.68974842891481,50,0,55.013849057348885
1,22,98.079683181014,45,6,58.847809908608404
1,16,95.08974307305719,30,4,57.05384584383431
1,11,98.56370410579007,43,3,59.13822246347404
1,27,94.49207585660878,31,12,56.69524551396527
1,12,94.41100514939477,56,2,56.64660308963686
1,30,92.47099985966713,22,11,55.48259991580028
1,23,71.60979613083863,16,4,42.965877678503176
1,43,93.9680091254472,19,9,56.38080547526832
1,26,96.24600332207902,30,5,57.747601993247414
1,30,97.73736451492356,39,11,58.64241870895413
1,36,98.52839596711304,22,12,59.11703758026782
1,22,97.40738533230379,33,10,58.44443119938227
1,29,80.33269903741929,17,12,48.19961942245157
1,25,86.9872491195641,19,5,52.19234947173846
1,26,96.80925893195395,29,6,58.08555535917237
1,30,88.275895905834,23,10,52.9655375435004
1,29,93.39317962460098,23,8,56.03590777476059
1,23,87.00475455259526,22,8,52.20285273155715
1,32,88.94596726715147,23,11,53.36758036029088
1,35,97.56495427057781,15,11,58.53897256234669
1,31,93.89943977539221,20,7,56.33966386523533
1,19,90.31794275570022,25,8,54.19076565342012
1,25,99.41619461802739,40,8,59.64971677081643
1,33,83.3996276964194,24,8,50.039776617851636
1,28,80.76886903115886,23,10,48.46132141869532
1,24,80.57267925009785,30,9,48.343607550058714
1,32,93.44068474255116,26,9,56.06441084553069
1,22,90.78607958825813,41,6,54.47164775295489
1,22,96.9563602511305,39,8,58.1738161506783
1,28,95.27142150201303,32,6,57.16285290120781
1,26,89.92462821761518,27,8,53.9547769305691
1,27,93.14048419179855,25,5,55.88429051507914
1,29,94.10283217907032,33,3,56.46169930744219
1,34,97.29262547820028,17,10,58.37557528692017
1,28,89.13180084722548,17,10,53.47908050833529
1,33,87.662333374611,12,12,52.59740002476659
1,29,97.2112583449772,32,6,58.32675500698632
1,23,92.31197949380953,27,7,55.387187696285714
1,26,95.72959999676567,38,10,57.4377599980594
1,26,83.76765794314373,25,6,50.26059476588624
1,32,82.67098202385826,23,12,49.60258921431495
1,28,95.64037454525644,28,8,57.384224727153864
1,27,91.3206788876384,28,11,54.79240733258304
1,25,89.84172043199035,34,5,53.905032259194215
1,31,96.3986306892162,27,8,57.83917841352972
1,30,89.9533706547594,48,8,53.972022392855635
1,31,90.62446022879942,24,10,54.37467613727965
1,38,85.49975843275595,5,12,51.299855059653574
1,30,95.3435091540778,27,6,57.20610549244668
1,22,87.58368072213634,35,7,52.5502084332818
1,34,96.04471546898854,29,8,57.62682928139312
1,33,85.21407814489578,16,10,51.12844688693747
1,38,94.47506349966797,24,9,56.68503809980078
1,22,79.40786783001286,17,4,47.64472069800772
1,23,90.55318652719718,26,8,54.33191191631831
1,37,92.47483373691684,11,8,55.484900242150104
1,23,95.10198109131588,23,5,57.061188654789525
1,35,93.54175285284315,11,12,56.12505171170589
1,39,86.85540193041105,11,17,52.11324115824663
1,31,90.94819924280415,22,10,54.56891954568249
1,19,84.98064697416669,36,5,50.98838818450001
1,35,83.64767396112404,17,11,50.18860437667442
1,15,98.2624397514892,35,4,58.95746385089352
1,14,86.8332432033413,36,5,52.099945922004785
1,15,97.65349182980727,44,1,58.59209509788436
1,7,99.92527820691598,60,3,59.95516692414959
1,12,95.72266163573808,34,2,57.43359698144284
1,19,71.22828650546997,28,8,42.736971903281976
1,22,59.76825262307697,11,6,35.86095157384618
1,26,93.07328436996866,32,4,55.8439706219812
1,35,94.67781162566415,32,7,56.80668697539849
1,32,98.93635569272828,35,6,59.36181341563697
1,26,90.69005686211835,24,7,54.41403411727101
1,31,90.44065558059408,14,7,54.26439334835645
1,28,97.13587825258959,21,7,58.28152695155376
1,31,94.55222711208631,32,9,56.73133626725179
1,25,91.06953796544235,31,6,54.64172277926541
1,31,86.48434205758628,16,14,51.890605234551764
1,31,86.8005899614057,22,5,52.080353976843426
1,22,97.10553813053671,39,7,58.26332287832203
1,33,96.09570570360178,26,6,57.657423422161074
1,41,91.49793318878854,16,12,54.898759913273125
1,22,85.25817189195,29,8,51.154903135169995
1,30,88.39989472825509,18,10,53.03993683695305
1,40,87.3377548429837,12,15,52.40265290579022
1,33,99.08903012691486,12,9,59.45341807614892
1,44,94.51406155955631,17,12,56.70843693573379
1,29,87.31359316212473,11,10,52.38815589727484
1,36,85.5180414891977,14,13,51.310824893518614
1,32,96.24649776820503,35,10,57.74789866092302
1,32,89.99784994691356,28,9,53.99870996814814
1,19,93.01141621345309,27,6,55.80684972807185
1,34,95.50654800617242,19,12,57.30392880370345
1,33,95.44475550710028,23,6,57.26685330426017
1,23,88.40609631764403,20,6,53.04365779058642
1,18,92.1217881054189,47,2,55.27307286325134
1,25,89.22668966007078,28,5,53.53601379604247
1,18,63.12455325576747,30,3,37.87473195346048
1,29,92.13405763309497,29,8,55.28043457985698
1,22,86.12603337219596,37,12,51.67562002331758
1,30,87.73713604465573,28,12,52.642281626793434
1,27,87.3741620921218,34,3,52.42449725527308
1,30,96.38111250719118,22,5,57.82866750431471
1,6,58.50476295292528,36,5,35.10285777175517
1,10,85.27906413618109,32,3,51.16743848170866
1,2,83.78807976572983,41,1,50.272847859437896
1,0,0.0,0,0,0
1,1,89.87931115225878,50,0,53.927586691355266
1,2,40.40911290394505,16,1,24.24546774236703
1,4,50.95597644806706,16,1,30.57358586884024
